Memory created, intialized to 0

Text code 0x00000000 (dec index): 0,-> Value : 
30f400080000204530f30001000030f00000000030f101000000e0230000000065207334000000d03f000000006013701a00000010

Byte address 0x00000350 (dec index): 848, Value : 0 , 00
Byte address 0x0000014c (dec index): 332, Value : 10 , 0a
Byte address 0x0000018c (dec index): 396, Value : 10 , 0a
Byte address 0x000001d3 (dec index): 467, Value : 10 , 0a
Byte address 0x00000216 (dec index): 534, Value : 10 , 0a
Byte address 0x0000025a (dec index): 602, Value : 10 , 0a
Byte address 0x0000026b (dec index): 619, Value : 10 , 0a
Byte address 0x0000026c (dec index): 620, Value : 10 , 0a
Byte address 0x000002a6 (dec index): 678, Value : 10 , 0a
Byte address 0x000002dc (dec index): 732, Value : 10 , 0a
Byte address 0x00000315 (dec index): 789, Value : 10 , 0a
Byte address 0x0000034e (dec index): 846, Value : 10 , 0a
Byte address 0x0000034f (dec index): 847, Value : 10 , 0a
Byte address 0x00000100 (dec index): 256, Value : 27 , 1b
Byte address 0x0000012c (dec index): 300, Value : 27 , 1b
Byte address 0x00000116 (dec index): 278, Value : 32 , 20
Byte address 0x00000119 (dec index): 281, Value : 32 , 20
Byte address 0x00000120 (dec index): 288, Value : 32 , 20
Byte address 0x00000123 (dec index): 291, Value : 32 , 20
Byte address 0x00000128 (dec index): 296, Value : 32 , 20
Byte address 0x00000131 (dec index): 305, Value : 32 , 20
Byte address 0x00000132 (dec index): 306, Value : 32 , 20
Byte address 0x00000133 (dec index): 307, Value : 32 , 20
Byte address 0x00000138 (dec index): 312, Value : 32 , 20
Byte address 0x0000013c (dec index): 316, Value : 32 , 20
Byte address 0x00000141 (dec index): 321, Value : 32 , 20
Byte address 0x00000150 (dec index): 336, Value : 32 , 20
Byte address 0x00000158 (dec index): 344, Value : 32 , 20
Byte address 0x00000163 (dec index): 355, Value : 32 , 20
Byte address 0x00000167 (dec index): 359, Value : 32 , 20
Byte address 0x0000016b (dec index): 363, Value : 32 , 20
Byte address 0x00000170 (dec index): 368, Value : 32 , 20
Byte address 0x00000175 (dec index): 373, Value : 32 , 20
Byte address 0x0000017e (dec index): 382, Value : 32 , 20
Byte address 0x0000018b (dec index): 395, Value : 32 , 20
Byte address 0x00000194 (dec index): 404, Value : 32 , 20
Byte address 0x00000195 (dec index): 405, Value : 32 , 20
Byte address 0x0000019a (dec index): 410, Value : 32 , 20
Byte address 0x000001a5 (dec index): 421, Value : 32 , 20
Byte address 0x000001ae (dec index): 430, Value : 32 , 20
Byte address 0x000001b2 (dec index): 434, Value : 32 , 20
Byte address 0x000001b6 (dec index): 438, Value : 32 , 20
Byte address 0x000001bb (dec index): 443, Value : 32 , 20
Byte address 0x000001bf (dec index): 447, Value : 32 , 20
Byte address 0x000001c6 (dec index): 454, Value : 32 , 20
Byte address 0x000001d8 (dec index): 472, Value : 32 , 20
Byte address 0x000001de (dec index): 478, Value : 32 , 20
Byte address 0x000001e1 (dec index): 481, Value : 32 , 20
Byte address 0x000001e4 (dec index): 484, Value : 32 , 20
Byte address 0x000001ee (dec index): 494, Value : 32 , 20
Byte address 0x000001f7 (dec index): 503, Value : 32 , 20
Byte address 0x000001fa (dec index): 506, Value : 32 , 20
Byte address 0x000001fe (dec index): 510, Value : 32 , 20
Byte address 0x00000205 (dec index): 517, Value : 32 , 20
Byte address 0x0000020d (dec index): 525, Value : 32 , 20
Byte address 0x0000021a (dec index): 538, Value : 32 , 20
Byte address 0x00000222 (dec index): 546, Value : 32 , 20
Byte address 0x0000022f (dec index): 559, Value : 32 , 20
Byte address 0x00000234 (dec index): 564, Value : 32 , 20
Byte address 0x00000236 (dec index): 566, Value : 32 , 20
Byte address 0x0000023a (dec index): 570, Value : 32 , 20
Byte address 0x0000023d (dec index): 573, Value : 32 , 20
Byte address 0x00000240 (dec index): 576, Value : 32 , 20
Byte address 0x00000244 (dec index): 580, Value : 32 , 20
Byte address 0x0000024f (dec index): 591, Value : 32 , 20
Byte address 0x00000250 (dec index): 592, Value : 32 , 20
Byte address 0x00000256 (dec index): 598, Value : 32 , 20
Byte address 0x00000261 (dec index): 609, Value : 32 , 20
Byte address 0x00000266 (dec index): 614, Value : 32 , 20
Byte address 0x00000271 (dec index): 625, Value : 32 , 20
Byte address 0x00000279 (dec index): 633, Value : 32 , 20
Byte address 0x0000027f (dec index): 639, Value : 32 , 20
Byte address 0x00000284 (dec index): 644, Value : 32 , 20
Byte address 0x00000288 (dec index): 648, Value : 32 , 20
Byte address 0x0000028c (dec index): 652, Value : 32 , 20
Byte address 0x00000295 (dec index): 661, Value : 32 , 20
Byte address 0x0000029b (dec index): 667, Value : 32 , 20
Byte address 0x0000029f (dec index): 671, Value : 32 , 20
Byte address 0x000002aa (dec index): 682, Value : 32 , 20
